stationName,Lat,Long,tripRatio1,tripRatio2,tripRatio3,tripRatio4,tripRatio5,tripRatio6,tripRatio7,tripRatio8,tripRatio9,tripRatio10,tripRatio11,tripRatio12,tripRatio13,tripRatio14,tripRatio15,tripRatio16,tripRatio17,tripRatio18,tripRatio19,tripRatio20,tripRatio21,tripRatio22,tripRatio23,tripRatio24,tripRatio25,tripRatio26,tripRatio27,tripRatio28,tripRatio29,tripRatio30,tripRatio31,tripRatio32,tripRatio33,tripRatio34,tripRatio35,tripRatio36,tripRatio37,tripRatio38,tripRatio39,tripRatio40,tripRatio41,tripRatio42,tripRatio43,tripRatio44,tripRatio45,tripRatio46,tripRatio47,tripRatio48,totalTrips1,totalTrips2,totalTrips3,totalTrips4,totalTrips5,totalTrips6,totalTrips7,totalTrips8,totalTrips9,totalTrips10,totalTrips11,totalTrips12,totalTrips13,totalTrips14,totalTrips15,totalTrips16,totalTrips17,totalTrips18,totalTrips19,totalTrips20,totalTrips21,totalTrips22,totalTrips23,totalTrips24,totalTrips25,totalTrips26,totalTrips27,totalTrips28,totalTrips29,totalTrips30,totalTrips31,totalTrips32,totalTrips33,totalTrips34,totalTrips35,totalTrips36,totalTrips37,totalTrips38,totalTrips39,totalTrips40,totalTrips41,totalTrips42,totalTrips43,totalTrips44,totalTrips45,totalTrips46,totalTrips47,totalTrips48
18 Dorrance Warehouse,42.387151,-71.075978,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0.5,1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,2,0,1,1,0,0,0
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,-1,-1,-0.2,0.2,0,0,-1,-1,-0.2,1,0,0,-1,-0.6,-0.928571428571429,-0.533333333333333,-0.6875,-0.193548387096774,-0.6,-0.709090909090909,-0.0588235294117647,0,0,0.15,0.253333333333333,0.0857142857142857,0.0508474576271186,0.147540983606557,0.175,0.230769230769231,0.0731707317073171,0,0.220338983050847,0.222222222222222,0.0864197530864197,-0.192660550458716,0.168831168831169,0.232876712328767,0.0204081632653061,-0.0434782608695652,0.4,0.68,0.153846153846154,0.142857142857143,-0.384615384615385,0.375,0.4,0.2,2,1,5,5,2,0,2,1,5,1,0,0,1,5,28,30,32,62,60,55,34,46,34,40,75,70,59,61,80,65,41,66,59,72,81,109,77,73,49,46,30,25,26,7,13,16,10,5
Davis Square,42.396969,-71.123024,0.333333333333333,0.428571428571429,-1,-1,1,-1,0,0,-1,0,-0.333333333333333,-1,-1,-0.641025641025641,-0.75,-0.676923076923077,-0.751724137931034,-0.523809523809524,-0.527777777777778,-0.125,0.0545454545454545,-0.181818181818182,0,-0.12,-0.25,0,-0.1,-0.222222222222222,-0.222222222222222,0.272727272727273,-0.172413793103448,0.135135135135135,0.128205128205128,0.185185185185185,0.212121212121212,0.165217391304348,0.348484848484849,0.326732673267327,0.169230769230769,0.258064516129032,0.163636363636364,0.2,0.05,0.485714285714286,0.428571428571429,0.642857142857143,0.6,-0.0909090909090909,12,7,2,2,1,1,0,0,1,0,3,3,23,39,56,130,145,147,72,48,55,22,36,25,24,30,20,18,18,33,29,37,39,54,66,115,132,101,65,62,55,45,40,35,28,28,25,11
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,-1,-1,1,0,-1,0,0,0,0,0,1,0,1,1,0.894736842105263,-0.166666666666667,0.666666666666667,-0.666666666666667,0.428571428571429,-0.529411764705882,0.466666666666667,1,-0.0666666666666667,-0.181818181818182,0.6,0.428571428571429,0.142857142857143,1,0.666666666666667,0,0.555555555555556,0.866666666666667,-0.666666666666667,0.6,-0.6,-0.407407407407407,-0.487179487179487,-0.217391304347826,-0.25,0.333333333333333,0.2,0.333333333333333,0.111111111111111,-0.5,-0.777777777777778,-1,-1,1,2,1,1,0,2,0,0,0,0,0,1,0,7,3,19,12,12,6,7,17,15,3,15,22,10,7,7,2,6,12,9,15,6,5,10,27,39,23,16,9,5,9,9,4,9,5,1,1
JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,-1,-1,0,0,0,0,0,0,-1,0,1,1,0.6,0.777777777777778,1,0.923076923076923,0.851851851851852,0.818181818181818,0.916666666666667,0.857142857142857,1,0.6,0.333333333333333,0.75,0.142857142857143,0.25,0.125,-1,0.0769230769230769,-0.111111111111111,0.2,-1,0.2,-0.555555555555556,-0.6,-0.866666666666667,-0.488372093023256,-0.772727272727273,-0.615384615384615,-0.523809523809524,-0.692307692307692,-0.571428571428571,-0.25,-0.6,0.2,0.2,0,-1,3,2,0,0,0,0,0,0,1,0,2,2,10,18,27,26,27,44,24,14,15,5,9,8,7,8,16,4,13,9,5,10,25,18,30,30,43,44,26,21,13,14,8,10,10,10,2,8
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,-0.4,-1,-1,-1,1,-1,0,0,0,0,0,1,1,1,0.142857142857143,0.555555555555556,0.853658536585366,0.68,0.555555555555556,0.0476190476190476,0.2,-0.2,0.176470588235294,-0.0588235294117647,-0.5,0,-0.217391304347826,0.25,-0.238095238095238,-0.0434782608695652,0.1,0.142857142857143,-0.391304347826087,0,-0.130434782608696,-0.409836065573771,-0.0526315789473684,-0.25,-0.641025641025641,-0.352941176470588,-0.0769230769230769,-0.0833333333333333,-0.0909090909090909,0.1,-0.555555555555556,0.5,-0.333333333333333,-1,10,6,6,1,1,2,0,0,0,0,0,3,10,18,14,18,41,50,36,42,25,25,34,17,20,16,23,24,21,23,20,14,23,30,46,61,38,32,39,34,26,24,22,20,18,4,9,2
Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,-1,-0.428571428571429,0,0,0,0,0,-1,-1,0,-1,0.888888888888889,0.714285714285714,0.625,0.571428571428571,0.608695652173913,0.772727272727273,0.787234042553192,0.404255319148936,0.725490196078431,0.257142857142857,-0.0256410256410256,0.151515151515152,-0.0555555555555556,0.024390243902439,0.0980392156862745,-0.0697674418604651,0.135135135135135,-0.15,-0.476190476190476,-0.555555555555556,-0.306122448979592,-0.133333333333333,-0.171428571428571,-0.347826086956522,-0.185185185185185,-0.245283018867925,-0.164556962025316,-0.148148148148148,-0.105263157894737,-0.260869565217391,-0.32,-0.0810810810810811,0.0909090909090909,-0.2,-0.6,-0.6,-0.428571428571429,1,7,0,2,0,0,0,1,1,0,3,18,7,16,14,46,88,47,47,51,35,39,33,36,41,51,43,37,40,42,36,49,60,70,92,108,106,79,54,38,46,50,37,22,5,10,5,7
Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0.714285714285714,0.764705882352941,0.333333333333333,0.5,0.333333333333333,0.714285714285714,-0.333333333333333,0.666666666666667,1,0.428571428571429,-1,0,-0.333333333333333,1,0.5,0.333333333333333,0,0,-0.428571428571429,-1,0,0,0,-0.333333333333333,-0.333333333333333,0,0,0,0.333333333333333,-1,-1,1,5,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,7,17,6,4,3,7,3,6,1,7,1,2,3,1,4,3,2,2,7,6,6,0,0,3,3,0,0,0,3,1,1,1
Ames St at Main St,42.3625,-71.08822,0,1,0,0,1,0,0,-1,0,-1,1,-0.666666666666667,-1,-0.647058823529412,-0.7,-0.675675675675676,-0.732283464566929,-0.682539682539683,-0.692307692307692,-0.714285714285714,-0.384615384615385,-0.260869565217391,0.0434782608695652,0.246753246753247,-0.0352941176470588,-0.0843373493975904,-0.131578947368421,-0.0379746835443038,0.2,0.287671232876712,0.240506329113924,0.168831168831169,0.256198347107438,0.592356687898089,0.546666666666667,0.0990990990990991,0.393939393939394,0.517241379310345,0.471698113207547,0.121951219512195,0.422222222222222,0.0526315789473684,0,0.181818181818182,-0.0769230769230769,0.5,-0.333333333333333,0.333333333333333,4,2,0,0,2,0,0,1,0,1,3,6,10,17,40,74,127,126,117,70,52,46,46,77,85,83,76,79,75,73,79,77,121,157,150,111,99,58,53,41,45,19,18,22,26,12,3,6
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1,0.333333333333333,1,1,1,0,0,1,0,0,0,0,0,-1,-1,-0.818181818181818,-0.787878787878788,-0.670886075949367,-0.837209302325581,-0.746478873239437,-0.260869565217391,-0.2,0.0869565217391304,-0.116279069767442,0.0384615384615385,-0.25,-0.133333333333333,-0.4,0.111111111111111,0.289473684210526,-0.0222222222222222,0.155555555555556,0.173333333333333,0.380281690140845,0.577777777777778,0.62,0.525423728813559,0.5,0.15,0.3125,0.263157894736842,0.153846153846154,0.529411764705882,0.444444444444444,0.25,0.333333333333333,-0.142857142857143,-0.2,1,3,1,2,1,0,0,1,0,0,0,0,0,5,10,22,66,79,86,71,46,20,46,43,52,80,60,30,63,76,45,45,75,71,90,100,59,32,40,32,19,26,17,18,16,6,7,5
